text,category
monthly gift for anniversary payment of 242,Gifts & Donations
bought soap for 71,Personal Care
spent 3303 on dental checkup,Health
soap cost 528,Personal Care
paid 7431 rupees for watch,Shopping
bought birthday gift for 959 rs,Gifts & Donations
bought haircut for 200 rupees,Personal Care
paid 2779 rs for vitamins,Health
"paid for stationery for school, amount was 4124",Education
bought restaurant meal for 265,Food
sports match ticket cost 92,Entertainment
"paid for repair, amount was 86",Others
concert tickets cost 681,Entertainment
bought dental checkup for 3959 rs,Health
donation to charity 691 rs,Gifts & Donations
purchase of parking fee - 14275,Transport
just got band-aids for 3244 inr,Health
spent 161 on concert tickets,Entertainment
"paid for pen and notebooks, amount was 10093",Education
home decor 1694 rs,Shopping
"paid for pen and notebooks, amount was 12417",Education
monthly running shoes payment of 7849,Shopping
purchase of contribution to fundraiser - 300,Gifts & Donations
purchase of miscellaneous - 412,Others
just got salon visit for 385 inr,Personal Care
purchase of charity - 790,Others
recharged my tuition payment with 10628,Education
repair 762 rupees,Others
bought repair for 344 inr,Others
just got vitamins for 841 rs,Health
paid 669 rupees for gym membership,Personal Care
monthly repair payment of 556,Others
spent 12898 on car service,Transport
purchase of coffee - 819,Food
monthly wedding present payment of 791,Gifts & Donations
bought contribution to fundraiser for 308,Gifts & Donations
just got flight ticket for 10935 rupees,Transport
lunch cost 997,Food
purchase of flight ticket - 9534,Transport
purchase of fruits - 796,Food
protein powder cost 986,Personal Care
monthly groceries payment of 396,Food
bought online course fee for 11872 rupees,Education
monthly miscellaneous payment of 316,Others
bought parking fee for 7711 rupees,Transport
"paid for contribution to fundraiser, amount was 900",Gifts & Donations
just got skincare products for 12863,Shopping
recharged my wedding present with 403,Gifts & Donations
jeans cost 4128,Shopping
bought Netflix subscription for 298 rupees,Entertainment
spent 7138 on exam fee,Education
"paid for donation to charity, amount was 157",Gifts & Donations
"paid for car service, amount was 8795",Transport
recharged my gift with 802,Others
udemy course 10343 rupees,Education
"paid for haircut, amount was 986",Personal Care
just got gas cylinder for 14115 rupees,Utilities
taxi fare cost 13075,Transport
purchase of shampoo - 539,Personal Care
spent 189 on vitamins,Health
wedding present cost 564,Gifts & Donations
"paid for gas cylinder, amount was 14155",Utilities
dental checkup 2710 rs,Health
"paid for school fees, amount was 2489",Education
purchase of groceries - 740,Food
paid 1334 for health insurance premium,Health
bought textbooks for 12217 rs,Education
bought subscription service for 5532 rs,Utilities
monthly wedding present payment of 759,Gifts & Donations
purchase of charity - 429,Others
just got stationery for school for 5329 inr,Education
coursera specialization 3640 rupees,Education
medicines cost 2512,Health
bought maintenance fee for 9463,Utilities
spent 14611 on school fees,Education
ice cream cost 992,Food
purchase of protein powder - 476,Personal Care
laptop 7676 rs,Shopping
game cost 85,Others
paid 746 rupees for pen and notebooks,Education
bought water bill for 11662,Utilities
haircut cost 835,Personal Care
purchase of gym membership - 594,Personal Care
"paid for donation to charity, amount was 224",Gifts & Donations
gift cost 8047,Shopping
monthly water bill payment of 4621,Utilities
spent 2763 on vitamins,Health
monthly internet bill payment of 4278,Utilities
bought birthday gift for 258 rupees,Gifts & Donations
paid 1850 inr for vitamins,Health
monthly donation to charity payment of 996,Gifts & Donations
"paid for internet bill, amount was 11566",Utilities
"paid for uber ride, amount was 8899",Transport
monthly restaurant meal payment of 309,Food
recharged my exam fee with 9932,Education
monthly Spotify premium payment of 600,Entertainment
purchase of mobile phone - 3025,Shopping
recharged my gift for anniversary with 233,Gifts & Donations
paid 969 inr for pastries,Food
"paid for lab test, amount was 410",Health
recharged my soap with 264,Personal Care
spent 1425 on house rent,Utilities
purchase of gift - 12995,Shopping
just got lab test for 2444,Health
recharged my gift for anniversary with 959,Gifts & Donations
just got book for 11701,Shopping
maintenance fee cost 10670,Utilities
bought donation to charity for 300 inr,Gifts & Donations
breakfast 391 inr,Food
bought mobile phone for 1225 rupees,Shopping
spent 640 on charity,Others
takeout food 187 rs,Food
just got pet food for 386,Others
monthly contribution to fundraiser payment of 702,Gifts & Donations
bought dinner with friends for 59 rupees,Food
monthly donation to charity payment of 485,Gifts & Donations
"paid for tailoring, amount was 169",Others
coursera specialization cost 8969,Education
"paid for udemy course, amount was 4017",Education
paid 5846 rupees for jeans,Shopping
purchase of doctor's visit fee - 1710,Health
just got gym membership for 931 inr,Personal Care
recharged my watch with 5184,Shopping
monthly home decor payment of 8146,Shopping
purchase of gift for anniversary - 719,Gifts & Donations
"paid for stationery for school, amount was 2731",Education
monthly DTH recharge payment of 4650,Utilities
spent 11980 on udemy course,Education
recharged my gift for anniversary with 563,Gifts & Donations
groceries cost 833,Food
takeout food cost 377,Food
bought photocopy for 283 rs,Others
"paid for haircut, amount was 422",Personal Care
paid 2904 for mobile phone,Shopping
purchase of laundry - 345,Others
paid 8324 inr for uber ride,Transport
paid 14711 for maintenance fee,Utilities
"paid for contribution to fundraiser, amount was 222",Gifts & Donations
"paid for shampoo, amount was 179",Personal Care
just got repair for 376,Others
spent 725 on donation to charity,Gifts & Donations
"paid for doctor's visit fee, amount was 2902",Health
recharged my band-aids with 1290,Health
contribution to fundraiser 231 rs,Gifts & Donations
toy 230,Others
just got online course fee for 12364 rupees,Education
bought tuition payment for 8075 inr,Education
spent 4446 on metro card recharge,Transport
monthly auto rickshaw fare payment of 10924,Transport
"paid for shampoo, amount was 651",Personal Care
monthly taxi fare payment of 395,Transport
monthly vitamins payment of 923,Health
spent 7557 on laptop,Shopping
gym membership 94,Personal Care
bought phone recharge for 6620 rs,Utilities
paid 1926 inr for flight ticket,Transport
just got wedding present for 704,Gifts & Donations
Netflix subscription cost 57,Entertainment
recharged my home decor with 10617,Shopping
repair cost 932,Others
just got dinner with friends for 269 rupees,Food
new shirt 13235,Shopping
spent 640 on dinner with friends,Food
stationery for school 2159 rs,Education
monthly furniture payment of 1022,Shopping
monthly medicines payment of 4560,Health
purchase of textbooks - 1465,Education
paid 742 rupees for shampoo,Personal Care
monthly taxi fare payment of 9530,Transport
just got laundry for 651 inr,Others
subscription service 7584 rs,Utilities
bought water bill for 11419,Utilities
monthly salon visit payment of 804,Personal Care
monthly amusement park entry payment of 542,Entertainment
spent 4988 on DTH recharge,Utilities
just got contribution to fundraiser for 181 inr,Gifts & Donations
purchase of cosmetics - 675,Personal Care
"paid for gas cylinder, amount was 7852",Utilities
auto rickshaw fare 10295 rupees,Transport
monthly stationery for school payment of 11468,Education
spent 3974 on electricity bill,Utilities
video game cost 563,Entertainment
monthly Netflix subscription payment of 539,Entertainment
bought breakfast for 960 rupees,Food
just got jeans for 11566 rupees,Shopping
"paid for cosmetics, amount was 512",Personal Care
spent 5062 on car service,Transport
monthly internet bill payment of 11907,Utilities
monthly office stationery payment of 389,Others
purchase of laundry - 492,Others
"paid for maintenance, amount was 891",Others
monthly coffee payment of 968,Food
spent 12593 on udemy course,Education
recharged my toy with 455,Others
paid 304 for photocopy,Others
recharged my restaurant meal with 436,Food
monthly donation to charity payment of 79,Gifts & Donations
paid 147 rupees for gift for anniversary,Gifts & Donations
purchase of ice cream - 169,Food
bought band-aids for 241 rs,Health
"paid for phone recharge, amount was 7502",Utilities
"paid for amusement park entry, amount was 306",Entertainment
taxi fare 6367 inr,Transport
recharged my laptop with 7042,Shopping
bought gym membership for 964,Personal Care
paid 864 rs for tuition payment,Education
purchase of stationery for school - 850,Education
bought repair for 571 rupees,Others
purchase of donation - 232,Others
recharged my maintenance fee with 6551,Utilities
recharged my dental checkup with 2371,Health
home decor cost 2048,Shopping
breakfast 973,Food
"paid for video game, amount was 866",Entertainment
purchase of metro card recharge - 12983,Transport
recharged my subscription service with 12213,Utilities
textbooks cost 2670,Education
pastries 737 inr,Food
laptop 3193 rs,Shopping
monthly tuition payment payment of 7752,Education
headphones cost 2844,Shopping
miscellaneous cost 58,Others
"paid for contribution to fundraiser, amount was 558",Gifts & Donations
purchase of subscription service - 597,Utilities
Netflix subscription 283 inr,Entertainment
"paid for pet food, amount was 296",Others
bought gift for anniversary for 60 inr,Gifts & Donations
purchase of fuel for car - 11291,Transport
online course fee 1070 inr,Education
health insurance premium cost 3547,Health
just got maintenance for 225 rupees,Others
purchase of electricity bill - 13914,Utilities
monthly wedding present payment of 332,Gifts & Donations
skincare products cost 14229,Shopping
home decor 2689,Shopping
monthly train ticket payment of 2582,Transport
"paid for medicines, amount was 1647",Health
recharged my movie tickets with 702,Entertainment
recharged my donation to charity with 174,Gifts & Donations
coffee cost 678,Food
gym membership cost 541,Personal Care
recharged my birthday gift with 665,Gifts & Donations
"paid for donation to charity, amount was 841",Gifts & Donations
"paid for donation to charity, amount was 536",Gifts & Donations
recharged my skincare products with 4189,Shopping
purchase of phone recharge - 7825,Utilities
recharged my gift with 368,Others
gift for anniversary cost 591,Gifts & Donations
online course fee cost 10157,Education
spent 190 on concert tickets,Entertainment
spent 4690 on running shoes,Shopping
paid 739 for cosmetics,Personal Care
paid 616 rs for soap,Personal Care
recharged my repair with 781,Others
recharged my pastries with 247,Food
"paid for coffee, amount was 944",Food
paid 592 rupees for gift for anniversary,Gifts & Donations
train ticket cost 14833,Transport
paid 171 for cosmetics,Personal Care
lunch cost 99,Food
recharged my vegetables with 329,Food
paid 1386 rs for dental checkup,Health
"paid for photocopy, amount was 755",Others
recharged my ice cream with 172,Food
monthly mobile phone payment of 9457,Shopping
just got vitamins for 2586,Health
spent 8078 on car service,Transport
purchase of internet bill - 14087,Utilities
coffee cost 844,Food
just got game for 992 inr,Others
recharged my stationery for school with 13709,Education
bus ticket 9954,Transport
paid 4901 inr for medicines,Health
"paid for video game, amount was 448",Entertainment
bought Spotify premium for 746 rs,Entertainment
bought contribution to fundraiser for 745,Gifts & Donations
"paid for donation to charity, amount was 568",Gifts & Donations
monthly soap payment of 407,Personal Care
just got vitamins for 892 rupees,Health
paid 489 inr for contribution to fundraiser,Gifts & Donations
paid 4992 rupees for gas cylinder,Utilities
"paid for coursera specialization, amount was 566",Education
recharged my tuition payment with 4933,Education
just got concert tickets for 487 inr,Entertainment
recharged my car service with 2442,Transport
"paid for sunglasses, amount was 14457",Shopping
"paid for donation to charity, amount was 318",Gifts & Donations
car service cost 8480,Transport
concert tickets cost 936,Entertainment
"paid for DTH recharge, amount was 3020",Utilities
purchase of concert tickets - 831,Entertainment
bought takeout food for 959 inr,Food
purchase of printing for work - 74,Others
bought shampoo for 754 rupees,Personal Care
metro card recharge cost 7657,Transport
bought soap for 191 inr,Personal Care
paid 958 for soap,Personal Care
monthly school fees payment of 1964,Education
recharged my gift for anniversary with 594,Gifts & Donations
just got donation to charity for 676 rupees,Gifts & Donations
"paid for sports match ticket, amount was 646",Entertainment
"paid for broadband payment, amount was 784",Utilities
cosmetics 650 rupees,Personal Care
concert tickets cost 635,Entertainment
charity 300 rs,Others
"paid for coffee, amount was 669",Food
monthly gift for anniversary payment of 578,Gifts & Donations
sunglasses cost 5264,Shopping
gift for anniversary cost 102,Gifts & Donations
bought jeans for 13737 rs,Shopping
bought contribution to fundraiser for 905 inr,Gifts & Donations
just got medicines for 1740 inr,Health
DTH recharge cost 4488,Utilities
purchase of contribution to fundraiser - 466,Gifts & Donations
monthly subscription service payment of 10938,Utilities
"paid for uber ride, amount was 5932",Transport
pizza 133 rs,Food
recharged my DTH recharge with 12640,Utilities
dental checkup cost 4185,Health
spent 7828 on tuition payment,Education
birthday gift 558 rupees,Gifts & Donations
monthly online course fee payment of 3272,Education
just got doctor's visit fee for 4151 rupees,Health
paid 475 rupees for lab test,Health
textbooks cost 2016,Education
monthly amusement park entry payment of 361,Entertainment
just got phone recharge for 4482 inr,Utilities
laptop cost 13552,Shopping
salon visit 966 rs,Personal Care
paid 222 for donation to charity,Gifts & Donations
bought movie tickets for 658,Entertainment
"paid for medicines, amount was 3692",Health
wedding present 562 rs,Gifts & Donations
"paid for salon visit, amount was 903",Personal Care
just got printing for work for 406 inr,Others
just got movie tickets for 656 inr,Entertainment
bought hospital bill for 3175 inr,Health
just got miscellaneous for 449 rupees,Others
uber ride cost 4698,Transport
just got birthday gift for 758,Gifts & Donations
online course fee 8163 rupees,Education
bought auto rickshaw fare for 9150,Transport
paid 368 rupees for gift for anniversary,Gifts & Donations
monthly online course fee payment of 10332,Education
paid 5556 rupees for uber ride,Transport
donation to charity cost 841,Gifts & Donations
purchase of birthday gift - 51,Gifts & Donations
just got laundry for 771,Others
sunglasses 10478 rs,Shopping
miscellaneous cost 271,Others
just got salon visit for 323 rupees,Personal Care
just got donation to charity for 574,Gifts & Donations
bought auto rickshaw fare for 2177 rs,Transport
paid 976 rs for cosmetics,Personal Care
monthly online course fee payment of 11722,Education
spent 1687 on dental checkup,Health
soap 670,Personal Care
"paid for internet bill, amount was 12097",Utilities
paid 6437 rupees for flight ticket,Transport
video game 961 rs,Entertainment
bought wedding present for 495 rs,Gifts & Donations
video game cost 424,Entertainment
train ticket cost 13192,Transport
just got health insurance premium for 3540 rupees,Health
spent 514 on printing for work,Others
monthly takeout food payment of 835,Food
just got sports match ticket for 91 rs,Entertainment
spent 3710 on gas cylinder,Utilities
contribution to fundraiser 452 inr,Gifts & Donations
shampoo cost 980,Personal Care
monthly band-aids payment of 977,Health
fuel for car cost 4602,Transport
mobile phone 12542 rs,Shopping
spent 9625 on taxi fare,Transport
recharged my fuel for car with 9028,Transport
spent 513 on gift for anniversary,Gifts & Donations
exam fee cost 8383,Education
paid 2323 rupees for jeans,Shopping
monthly bowling with friends payment of 385,Entertainment
gift cost 14143,Shopping
miscellaneous cost 652,Others
paid 14954 inr for water bill,Utilities
monthly mobile phone payment of 9503,Shopping
purchase of textbooks - 10233,Education
paid 1675 rupees for vitamins,Health
charity cost 723,Others
paid 281 rs for maintenance,Others
spent 6235 on furniture,Shopping
paid 3260 rupees for house rent,Utilities
paid 5268 rupees for headphones,Shopping
monthly tailoring payment of 152,Others
recharged my office stationery with 613,Others
"paid for furniture, amount was 6108",Shopping
purchase of phone recharge - 14626,Utilities
spent 666 on Spotify premium,Entertainment
takeout food cost 906,Food
"paid for exam fee, amount was 9775",Education
"paid for coursera specialization, amount was 8315",Education
bought photocopy for 512 rs,Others
spent 14644 on udemy course,Education
just got wedding present for 245,Gifts & Donations
"paid for school fees, amount was 11309",Education
recharged my coursera specialization with 447,Education
"paid for movie tickets, amount was 819",Entertainment
bought Spotify premium for 585 rupees,Entertainment
purchase of dinner with friends - 942,Food
just got Netflix subscription for 551 rupees,Entertainment
"paid for fuel for car, amount was 8831",Transport
paid 6159 rs for textbooks,Education
just got watch for 2119,Shopping
purchase of band-aids - 3116,Health
watch cost 3681,Shopping
bought sports match ticket for 380 rupees,Entertainment
paid 143 rupees for groceries,Food
stationery for school cost 2751,Education
purchase of sports match ticket - 436,Entertainment
restaurant meal cost 650,Food
train ticket 13939 inr,Transport
monthly soap payment of 739,Personal Care
udemy course cost 7288,Education
monthly house rent payment of 8266,Utilities
gift for anniversary cost 121,Gifts & Donations
vitamins 1949 inr,Health
monthly coursera specialization payment of 9405,Education
recharged my DTH recharge with 6969,Utilities
purchase of school fees - 11162,Education
monthly soap payment of 501,Personal Care
"paid for Netflix subscription, amount was 277",Entertainment
uber ride 8544 rupees,Transport
bought internet bill for 4217 rupees,Utilities
bought contribution to fundraiser for 895 rs,Gifts & Donations
paid 9971 rupees for taxi fare,Transport
monthly udemy course payment of 10640,Education
just got medicines for 4233 inr,Health
miscellaneous 927 rs,Others
paid 840 for haircut,Personal Care
internet bill 7451 rupees,Utilities
recharged my printing for work with 535,Others
just got flight ticket for 11180 rs,Transport
birthday gift 290,Gifts & Donations
just got protein powder for 218 rupees,Personal Care
maintenance fee cost 247,Utilities
just got haircut for 72 rs,Personal Care
band-aids 4819 rupees,Health
paid 677 inr for pastries,Food
monthly restaurant meal payment of 943,Food
monthly pet food payment of 586,Others
spent 12386 on bus ticket,Transport
purchase of flight ticket - 13828,Transport
just got DTH recharge for 2708 rs,Utilities
purchase of Spotify premium - 473,Entertainment
purchase of skincare products - 5326,Shopping
just got bowling with friends for 330,Entertainment
new shirt cost 829,Shopping
spent 11097 on metro card recharge,Transport
spent 190 on movie tickets,Entertainment
"paid for gas cylinder, amount was 12540",Utilities
just got vitamins for 4434 rs,Health
purchase of pastries - 467,Food
monthly phone recharge payment of 13109,Utilities
purchase of salon visit - 704,Personal Care
monthly coffee payment of 874,Food
purchase of doctor's visit fee - 4813,Health
monthly Spotify premium payment of 872,Entertainment
spent 4837 on mobile phone,Shopping
purchase of medicines - 2175,Health
purchase of birthday gift - 564,Gifts & Donations
bought charity for 249 rs,Others
broadband payment cost 1820,Utilities
"paid for protein powder, amount was 482",Personal Care
recharged my medicines with 457,Health
monthly car service payment of 9225,Transport
monthly subscription service payment of 2927,Utilities
paid 750 rs for cosmetics,Personal Care
"paid for broadband payment, amount was 7458",Utilities
textbooks 8736,Education
monthly bowling with friends payment of 830,Entertainment
paid 4900 inr for watch,Shopping
spent 461 on gym membership,Personal Care
bought maintenance fee for 6230 rs,Utilities
spent 7468 on train ticket,Transport
bought Netflix subscription for 734 rs,Entertainment
exam fee cost 7936,Education
recharged my health insurance premium with 1783,Health
monthly vegetables payment of 299,Food
recharged my pet food with 466,Others
"paid for Netflix subscription, amount was 217",Entertainment
just got stationery for school for 9178 inr,Education
paid 14680 inr for car service,Transport
band-aids 3771 rs,Health
monthly auto rickshaw fare payment of 1532,Transport
purchase of snacks - 345,Food
monthly phone recharge payment of 7632,Utilities
lunch 223 rupees,Food
purchase of miscellaneous - 662,Others
spent 4729 on lab test,Health
